epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,24.863,1.02619,1.79517,1.49658,0.54352,0.61446,0.5239,0.2849,1.35307,2.65176,1.83528,0.000654545,0.000654545,0.000654545
2,41.9508,1.00572,1.30332,1.47235,0.55847,0.39759,0.48117,0.22311,1.85899,2.68336,2.43725,0.00131685,0.00131685,0.00131685
3,59.1287,1.12434,1.2454,1.5738,0.61375,0.63855,0.58329,0.18396,2.21478,2.30892,2.70728,0.00197476,0.00197476,0.00197476
4,76.3483,1.07201,1.06939,1.51069,0.651,0.50602,0.5328,0.22099,1.89884,1.94988,2.64383,0.0019802,0.0019802,0.0019802
5,93.7135,1.04709,0.99624,1.48083,0.73682,0.79518,0.80081,0.49055,1.32729,1.45436,1.74089,0.0019736,0.0019736,0.0019736
6,111.161,0.96549,0.89788,1.4166,0.74845,0.75284,0.7711,0.48223,1.39755,1.54804,1.90291,0.001967,0.001967,0.001967
7,128.461,0.94322,0.85938,1.39492,0.73626,0.6506,0.7255,0.37492,2.04756,1.47913,2.60197,0.0019604,0.0019604,0.0019604
8,145.724,0.91278,0.81405,1.38089,0.6646,0.68675,0.7248,0.43506,1.36556,1.18631,1.74283,0.0019538,0.0019538,0.0019538
9,163.025,0.9017,0.78878,1.36797,0.91551,0.80723,0.86889,0.60188,1.04897,0.97079,1.53363,0.0019472,0.0019472,0.0019472
10,180.435,0.88135,0.76902,1.36979,0.76758,0.79518,0.85833,0.65678,1.03215,0.91527,1.38178,0.0019406,0.0019406,0.0019406
11,197.71,0.85721,0.74585,1.32473,0.80529,0.86747,0.90151,0.57953,1.22382,1.05946,1.63796,0.001934,0.001934,0.001934
12,214.887,0.85066,0.73022,1.32634,0.94685,0.79518,0.93835,0.6867,1.05153,0.91496,1.39159,0.0019274,0.0019274,0.0019274
13,232.174,0.82899,0.71048,1.30282,0.64434,0.56627,0.62511,0.3773,1.30701,1.30279,1.68323,0.0019208,0.0019208,0.0019208
14,249.32,0.82008,0.68286,1.30692,0.85195,0.69336,0.79503,0.52215,1.26928,1.08639,1.64663,0.0019142,0.0019142,0.0019142
15,266.592,0.82798,0.69366,1.30626,0.87023,0.79518,0.90476,0.61797,1.06349,0.81497,1.42466,0.0019076,0.0019076,0.0019076
16,283.757,0.80975,0.67319,1.27945,0.82688,0.74813,0.87018,0.662,1.01986,0.85714,1.39447,0.001901,0.001901,0.001901
17,300.924,0.79031,0.66127,1.27107,0.95904,0.93976,0.96159,0.69671,0.95463,0.64695,1.3706,0.0018944,0.0018944,0.0018944
18,318.226,0.77102,0.63924,1.26522,0.85495,0.91566,0.95114,0.73331,0.87034,0.67952,1.30722,0.0018878,0.0018878,0.0018878
19,335.569,0.75487,0.60863,1.26024,0.9129,0.89157,0.9445,0.74442,0.8039,0.64288,1.19872,0.0018812,0.0018812,0.0018812
20,352.915,0.75314,0.61951,1.25883,0.9283,0.90361,0.95708,0.78762,0.72528,0.58149,1.13901,0.0018746,0.0018746,0.0018746
21,370.507,0.73059,0.58537,1.23723,0.9473,0.96386,0.97157,0.78219,0.75294,0.53778,1.13894,0.001868,0.001868,0.001868
22,388.454,0.75017,0.61348,1.24316,0.90975,0.84337,0.93834,0.73136,0.83175,0.67195,1.20523,0.0018614,0.0018614,0.0018614
23,406.367,0.70321,0.56638,1.21727,0.87807,0.95446,0.96337,0.73623,0.82394,0.64458,1.19162,0.0018548,0.0018548,0.0018548
24,424.237,0.72125,0.57418,1.23182,0.95621,0.92771,0.97086,0.8263,0.65171,0.51312,1.08252,0.0018482,0.0018482,0.0018482
25,442.205,0.72209,0.56271,1.22515,0.96863,0.92771,0.97661,0.78741,0.79251,0.58318,1.2413,0.0018416,0.0018416,0.0018416
26,460.063,0.68512,0.55491,1.20735,0.95672,0.89157,0.96234,0.73709,0.84735,0.60681,1.31871,0.001835,0.001835,0.001835
27,477.929,0.69347,0.55299,1.21661,0.89749,0.84337,0.93301,0.69553,0.82656,0.67253,1.24578,0.0018284,0.0018284,0.0018284
28,495.759,0.69587,0.54701,1.21116,0.89543,0.92854,0.95494,0.78039,0.72953,0.5796,1.12776,0.0018218,0.0018218,0.0018218
29,513.578,0.69305,0.54435,1.19318,0.83174,0.90361,0.92018,0.7284,0.74257,0.67765,1.15278,0.0018152,0.0018152,0.0018152
30,531.427,0.70502,0.54731,1.2106,0.90639,0.93327,0.95279,0.77009,0.72709,0.51783,1.14982,0.0018086,0.0018086,0.0018086
31,549.26,0.69092,0.55113,1.19942,0.94885,0.92771,0.95749,0.79199,0.71594,0.54771,1.11997,0.001802,0.001802,0.001802
32,567.12,0.66559,0.53024,1.17593,0.94866,0.89052,0.95811,0.77661,0.74105,0.55943,1.15323,0.0017954,0.0017954,0.0017954
33,585.013,0.67234,0.53248,1.1816,0.9621,0.91748,0.97623,0.78417,0.72063,0.50521,1.11768,0.0017888,0.0017888,0.0017888
34,602.9,0.65073,0.50692,1.17299,0.93492,0.96386,0.96557,0.81154,0.65893,0.46865,1.06929,0.0017822,0.0017822,0.0017822
35,620.814,0.65347,0.51531,1.16368,0.9735,0.9759,0.97553,0.82464,0.67053,0.48874,1.08234,0.0017756,0.0017756,0.0017756
36,638.703,0.63537,0.51405,1.16678,0.9702,0.92771,0.97255,0.81142,0.66359,0.47948,1.11782,0.001769,0.001769,0.001769
37,656.624,0.65482,0.53055,1.17146,0.9873,0.93695,0.9624,0.77546,0.75624,0.50315,1.22112,0.0017624,0.0017624,0.0017624
38,674.503,0.64157,0.51252,1.16475,0.95127,0.9408,0.97527,0.81208,0.69234,0.49394,1.11256,0.0017558,0.0017558,0.0017558
39,692.351,0.63876,0.50123,1.16614,0.9371,0.96386,0.97499,0.81485,0.70471,0.52549,1.11084,0.0017492,0.0017492,0.0017492
40,710.231,0.65255,0.50742,1.1516,0.96836,0.93976,0.97184,0.81304,0.69396,0.53774,1.08733,0.0017426,0.0017426,0.0017426
41,728.111,0.62172,0.47495,1.14355,0.98153,0.96386,0.98468,0.84994,0.60622,0.46312,1.04766,0.001736,0.001736,0.001736
42,746.114,0.61975,0.46962,1.14549,0.94528,0.95181,0.97988,0.81075,0.68875,0.50624,1.10182,0.0017294,0.0017294,0.0017294
43,764.004,0.61569,0.47408,1.14217,0.96411,0.97097,0.97641,0.83821,0.65351,0.50492,1.07226,0.0017228,0.0017228,0.0017228
44,781.874,0.60898,0.47785,1.13289,0.96141,0.92771,0.97571,0.83259,0.6229,0.47536,1.03946,0.0017162,0.0017162,0.0017162
45,799.752,0.62736,0.47187,1.15459,0.93972,0.93916,0.9733,0.81367,0.66162,0.49753,1.07674,0.0017096,0.0017096,0.0017096
46,817.635,0.64374,0.53348,1.17298,0.92403,0.87928,0.9436,0.80285,0.64727,0.59068,1.06499,0.001703,0.001703,0.001703
47,835.587,0.61898,0.48114,1.15005,0.97484,0.93362,0.98283,0.83348,0.61324,0.45085,1.03843,0.0016964,0.0016964,0.0016964
48,853.557,0.58403,0.45097,1.12528,0.95822,0.95181,0.97126,0.82349,0.65576,0.51123,1.06859,0.0016898,0.0016898,0.0016898
49,871.471,0.60788,0.46623,1.13779,0.97115,0.95181,0.97546,0.83324,0.6739,0.45834,1.05136,0.0016832,0.0016832,0.0016832
50,889.382,0.59321,0.45211,1.11955,0.96357,0.95595,0.97933,0.8679,0.56037,0.4411,0.98479,0.0016766,0.0016766,0.0016766
51,907.4,0.57488,0.45304,1.11728,0.94053,0.95181,0.98312,0.85243,0.54924,0.4464,1.003,0.00167,0.00167,0.00167
52,925.276,0.58628,0.4527,1.12342,0.96266,0.95181,0.96971,0.83882,0.55775,0.43864,1.01113,0.0016634,0.0016634,0.0016634
53,943.104,0.58244,0.45258,1.11335,0.9613,0.95181,0.97893,0.86189,0.55391,0.41877,0.98783,0.0016568,0.0016568,0.0016568
54,961.008,0.58654,0.44606,1.12221,0.96826,0.98795,0.98563,0.86306,0.55331,0.41926,0.99548,0.0016502,0.0016502,0.0016502
55,978.893,0.5761,0.45909,1.12307,0.97273,0.91566,0.97211,0.82985,0.67399,0.47745,1.07196,0.0016436,0.0016436,0.0016436
56,996.772,0.57435,0.44081,1.11603,0.9829,0.92771,0.98172,0.85641,0.60186,0.45427,1.03245,0.001637,0.001637,0.001637
57,1014.66,0.57105,0.43528,1.1082,0.93532,0.95181,0.96245,0.81259,0.63625,0.47269,1.07846,0.0016304,0.0016304,0.0016304
58,1032.48,0.59092,0.44613,1.11739,0.92939,0.95152,0.97623,0.84978,0.55697,0.4195,0.98091,0.0016238,0.0016238,0.0016238
59,1050.38,0.56169,0.42981,1.10505,0.97249,0.93976,0.9788,0.88098,0.52787,0.41197,0.96841,0.0016172,0.0016172,0.0016172
60,1068.3,0.57861,0.44907,1.11818,0.9876,0.95972,0.98355,0.87172,0.54316,0.39812,0.97624,0.0016106,0.0016106,0.0016106
61,1086.19,0.56719,0.43363,1.11701,0.94876,0.96386,0.97404,0.85357,0.5667,0.42856,0.99457,0.001604,0.001604,0.001604
62,1104.04,0.55059,0.41828,1.10003,0.98642,0.9759,0.97752,0.84749,0.59082,0.39219,1.02539,0.0015974,0.0015974,0.0015974
63,1121.9,0.57212,0.44058,1.11076,0.9614,0.96386,0.98037,0.85535,0.56472,0.40288,0.99335,0.0015908,0.0015908,0.0015908
64,1139.73,0.54948,0.42658,1.09281,0.97524,0.94893,0.96762,0.872,0.55904,0.40445,1.02525,0.0015842,0.0015842,0.0015842
65,1157.54,0.55162,0.42487,1.09275,0.98399,0.92771,0.96342,0.84195,0.54568,0.43807,1.00083,0.0015776,0.0015776,0.0015776
66,1175.4,0.54509,0.42219,1.10056,0.95539,0.9759,0.97585,0.87358,0.55976,0.41189,1.0101,0.001571,0.001571,0.001571
